      Graph no.    nov  Starting cv    Ending cv     Loop      Step time    Cycle
--  -----------  -----  -------------  ------------  ------  -----------  -------
 0            1      1  1              1             1                 1        1
 1            1      3  [1, 1, 1]      [1, 1, 1]     yes               1
 2            2      3  [1, 1, -1]     [1, 1, 1]     yes               1
 3            3      3  [1, -1, 1]     [1, 1, 1]     yes               1
 4            4      3  [1, -1, -1]    [-1, -1, -1]  yes               1
 5            5      3  [-1, 1, 1]     [1, 1, 1]     yes               1
 6            6      3  [-1, 1, -1]    [-1, -1, -1]  yes               1
 7            7      3  [-1, -1, 1]    [-1, -1, -1]  yes               1
 8            8      3  [-1, -1, -1]   [-1, -1, -1]  yes               1
 9                   3  [1, 1, 1]      [1, 1, 1]     yes               1
10                   3  [1, 1, -1]     [1, 1, 1]     yes               1
11                   3  [1, -1, 1]     [1, 1, 1]     yes               1
12                   3  [1, -1, -1]    [1, -1, -1]   yes               2
13                   3  [-1, 1, 1]     [-1, 1, 1]    yes               2
14                   3  [-1, 1, -1]    [-1, -1, -1]  yes               1
15                   3  [-1, -1, 1]    [-1, -1, -1]  yes               1
16                   3  [-1, -1, -1]   [-1, -1, -1]  yes               1
17                   3  [1, 1, 1]      [1, 1, 1]     yes               1
18                   3  [1, 1, -1]     [1, 1, 1]     yes               1
19                   3  [1, -1, 1]     [1, -1, 1]    yes               2
20                   3  [1, -1, -1]    [-1, -1, -1]  yes               1
21                   3  [-1, 1, 1]     [1, 1, 1]     yes               1
22                   3  [-1, 1, -1]    [-1, 1, -1]   yes               2
23                   3  [-1, -1, 1]    [-1, -1, -1]  yes               1
24                   3  [-1, -1, -1]   [-1, -1, -1]  yes               1
25                   3  [1, 1, 1]      [1, 1, 1]     yes               1
26                   3  [1, 1, -1]     [1, 1, -1]    yes               2
27                   3  [1, -1, 1]     [1, 1, 1]     yes               1
28                   3  [1, -1, -1]    [-1, -1, -1]  yes               1
29                   3  [-1, 1, 1]     [1, 1, 1]     yes               1
30                   3  [-1, 1, -1]    [-1, -1, -1]  yes               1
31                   3  [-1, -1, 1]    [-1, -1, 1]   yes               2
32                   3  [-1, -1, -1]   [-1, -1, -1]  yes               1
