      Graph no.    nov  Starting cv    Ending cv     Loop      Step time    Cycle
--  -----------  -----  -------------  ------------  ------  -----------  -------
 0            1      1  1              1             1                 1        1
 1            1      3  [1, 1, 1]      [1, 1, 1]     yes               1
 2            1      3  [1, 1, -1]     [1, 1, 1]     yes               1
 3            1      3  [1, -1, 1]     [1, 1, 1]     yes               1
 4            1      3  [1, -1, -1]    [-1, -1, -1]  yes               1
 5            2      3  [1, 1, 1]      [1, 1, 1]     yes               1
 6            2      3  [1, 1, -1]     [1, 1, 1]     yes               1
 7            2      3  [1, -1, 1]     [1, 1, 1]     yes               1
 8            2      3  [1, -1, -1]    [1, -1, -1]   yes               2
 9            3      3  [1, 1, 1]      [1, 1, 1]     yes               1
10            3      3  [1, 1, -1]     [1, 1, 1]     yes               1
11            3      3  [1, -1, 1]     [1, -1, 1]    yes               2
12            3      3  [1, -1, -1]    [-1, -1, -1]  yes               1
13            5      3  [1, 1, 1]      [1, 1, 1]     yes               1
14            5      3  [1, 1, -1]     [1, 1, -1]    yes               2
15            5      3  [1, -1, 1]     [1, 1, 1]     yes               1
16            5      3  [1, -1, -1]    [-1, -1, -1]  yes               1
